"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"78240.8986955";"Altitude (GPS)";"443.6000061035156";"m";"46.3597978";"15.1194014";
"78240.8986955";"Altitude (GPS)";"443.6000061035156";"m";"46.3598428";"15.119394";
"78240.8986955";"Altitude (GPS)";"443.6000061035156";"m";"46.3598081";"15.1193987";
"78240.8986955";"Altitude (GPS)";"443.6000061035156";"m";"46.3597872";"15.1193942";
"78240.8986955";"Altitude (GPS)";"443.8000183105469";"m";"46.3599871";"15.1198766";
"78240.8986955";"Altitude (GPS)";"446.4000244140625";"m";"46.3603037";"15.1204839";
"78240.8986955";"Altitude (GPS)";"446.4000244140625";"m";"46.3602416";"15.1205437";
"78240.8986955";"Altitude (GPS)";"446.4000244140625";"m";"46.3602191";"15.1205011";
"78249.3945863";"Vehicle speed";"0";"km/h";"46.3597978";"15.1194014";
"78249.6545879";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3597978";"15.1194014";
"78249.8174588";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3597978";"15.1194014";
"78249.8174588";"Throttle position";"18.431372549019606";"%";"46.3597978";"15.1194014";
"78249.90666";"Calculated instant fuel rate";"0.8657054811469174";"L/h";"46.3597978";"15.1194014";
"78249.90666";"Instant engine power (based on fuel consumption)";"3.3868111670846837";"hp";"46.3597978";"15.1194014";
"78249.90666";"MAF air flow rate";"2.57";"g/sec";"46.3597978";"15.1194014";
"78249.90666";"Power from MAF";"3.0839999999999996";"hp";"46.3597978";"15.1194014";
"78249.9988014";"Average speed";"0";"km/h";"46.3597978";"15.1194014";
"78249.9988014";"Distance travelled";"0";"km";"46.3597978";"15.1194014";
"78249.9988014";"Distance travelled (Today)";"3.375308";"km";"46.3597978";"15.1194014";
"78249.9988014";"Distance travelled (total)";"111.20349900000002";"km";"46.3597978";"15.1194014";
"78249.9988014";"Distance travelled (Week)";"3.375308";"km";"46.3597978";"15.1194014";
"78249.9988014";"Vehicle speed";"0";"km/h";"46.3597978";"15.1194014";
"78250.0789923";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3597978";"15.1194014";
"78250.269984";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3597978";"15.1194014";
"78250.269984";"Throttle position";"18.431372549019606";"%";"46.3597978";"15.1194014";
"78250.4746822";"Average fuel consumption (Today)";"6.315364405263163";"L/100km";"46.3597978";"15.1194014";
"78250.4746822";"Average fuel consumption (total)";"5.978168906357883";"L/100km";"46.3597978";"15.1194014";
"78250.4746822";"Average fuel consumption (Week)";"6.315364405263163";"L/100km";"46.3597978";"15.1194014";
"78250.4746822";"Calculated instant fuel rate";"0.8623369773292252";"L/h";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used";"0.00013469265231252355";"L";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used (Today)";"0.213163";"L";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used (total)";"6.647933";"L";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used (Week)";"0.213163";"L";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used price";"0.00022224287631566385";"€";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used price (Today)";"0.35171895";"€";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used price (total)";"10.96908945";"€";"46.3597978";"15.1194014";
"78250.4746822";"Fuel used price (Week)";"0.35171895";"€";"46.3597978";"15.1194014";
"78250.4746822";"Instant engine power (based on fuel consumption)";"3.3736329135162615";"hp";"46.3597978";"15.1194014";
"78250.4746822";"MAF air flow rate";"2.56";"g/sec";"46.3597978";"15.1194014";
"78250.4746822";"Power from MAF";"3.072";"hp";"46.3597978";"15.1194014";
"78250.5548383";"Average speed";"0";"km/h";"46.3597978";"15.1194014";
"78250.5548383";"Distance travelled";"0";"km";"46.3597978";"15.1194014";
"78250.5548383";"Distance travelled (Today)";"3.375308";"km";"46.3597978";"15.1194014";
"78250.5548383";"Distance travelled (total)";"111.20349900000002";"km";"46.3597978";"15.1194014";
"78250.5548383";"Distance travelled (Week)";"3.375308";"km";"46.3597978";"15.1194014";
"78250.5548383";"Vehicle speed";"0";"km/h";"46.3597978";"15.1194014";
"78250.5891637";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3597978";"15.1194014";
