"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"25469.1092217";"Altitude (GPS)";"536.0999755859375";"m";"46.3559114";"15.157515";
"25477.8607915";"Vehicle speed";"0";"km/h";"46.3559114";"15.157515";
"25477.9524825";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3559114";"15.157515";
"25478.1205447";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3559114";"15.157515";
"25478.1205447";"Throttle position";"20.392156862745097";"%";"46.3559114";"15.157515";
"25478.204531";"Calculated instant fuel rate";"1.1655023209215307";"L/h";"46.3559114";"15.157515";
"25478.204531";"Instant engine power (based on fuel consumption)";"4.559675734674321";"hp";"46.3559114";"15.157515";
"25478.204531";"MAF air flow rate";"3.46";"g/sec";"46.3559114";"15.157515";
"25478.204531";"Power from MAF";"4.152";"hp";"46.3559114";"15.157515";
"25478.2953754";"Average speed";"0";"km/h";"46.3559114";"15.157515";
"25478.2953754";"Distance travelled";"0";"km";"46.3559114";"15.157515";
"25478.2953754";"Distance travelled (Today)";"0";"km";"46.3559114";"15.157515";
"25478.2953754";"Distance travelled (total)";"119.44663300000002";"km";"46.3559114";"15.157515";
"25478.2953754";"Distance travelled (Week)";"0";"km";"46.3559114";"15.157515";
"25478.2953754";"Vehicle speed";"0";"km/h";"46.3559114";"15.157515";
"25478.3810645";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3559114";"15.157515";
"25478.5505396";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3559114";"15.157515";
"25478.5505396";"Throttle position";"20.392156862745097";"%";"46.3559114";"15.157515";
"25478.8127963";"Average fuel consumption (total)";"6.141783000279296";"L/100km";"46.3559114";"15.157515";
"25478.8127963";"Calculated instant fuel rate";"1.145291298015377";"L/h";"46.3559114";"15.157515";
"25478.8127963";"Fuel used";"0.00019274559008090552";"L";"46.3559114";"15.157515";
"25478.8127963";"Fuel used (Today)";"0.000193";"L";"46.3559114";"15.157515";
"25478.8127963";"Fuel used (total)";"7.336153";"L";"46.3559114";"15.157515";
"25478.8127963";"Fuel used (Week)";"0.000193";"L";"46.3559114";"15.157515";
"25478.8127963";"Fuel used price";"0.0003180302236334941";"€";"46.3559114";"15.157515";
"25478.8127963";"Fuel used price (Today)";"0.00031844999999999996";"€";"46.3559114";"15.157515";
"25478.8127963";"Fuel used price (total)";"12.104652449999998";"€";"46.3559114";"15.157515";
"25478.8127963";"Fuel used price (Week)";"0.00031844999999999996";"€";"46.3559114";"15.157515";
"25478.8127963";"Instant engine power (based on fuel consumption)";"4.480606213263783";"hp";"46.3559114";"15.157515";
"25478.8127963";"MAF air flow rate";"3.4";"g/sec";"46.3559114";"15.157515";
"25478.8127963";"Power from MAF";"4.08";"hp";"46.3559114";"15.157515";
"25478.8630037";"Average speed";"0";"km/h";"46.3559114";"15.157515";
"25478.8630037";"Distance travelled";"0";"km";"46.3559114";"15.157515";
"25478.8630037";"Distance travelled (Today)";"0";"km";"46.3559114";"15.157515";
"25478.8630037";"Distance travelled (total)";"119.44663300000002";"km";"46.3559114";"15.157515";
"25478.8630037";"Distance travelled (Week)";"0";"km";"46.3559114";"15.157515";
"25478.8630037";"Vehicle speed";"0";"km/h";"46.3559114";"15.157515";
"25478.9009838";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3559114";"15.157515";
"25478.9616117";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3559114";"15.157515";
"25478.9616117";"Throttle position";"20.392156862745097";"%";"46.3559114";"15.157515";
"25479.0104898";"Average fuel consumption (total)";"6.141836580692901";"L/100km";"46.3559114";"15.157515";
"25479.0104898";"Calculated instant fuel rate";"1.1621338171038387";"L/h";"46.3559114";"15.157515";
