"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"82080.5981299";"Vehicle speed";"0";"km/h";"46.3601442";"15.1195747";
"82080.9295326";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3601442";"15.1195747";
"82081.1064718";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3601442";"15.1195747";
"82081.1064718";"Throttle position";"18.03921568627451";"%";"46.3601442";"15.1195747";
"82081.1875712";"Calculated instant fuel rate";"0.7040172978976876";"L/h";"46.3601442";"15.1195747";
"82081.1875712";"Instant engine power (based on fuel consumption)";"2.754254995800385";"hp";"46.3601442";"15.1195747";
"82081.1875712";"MAF air flow rate";"2.09";"g/sec";"46.3601442";"15.1195747";
"82081.1875712";"Power from MAF";"2.5079999999999996";"hp";"46.3601442";"15.1195747";
"82081.3630554";"Average speed";"0";"km/h";"46.3601442";"15.1195747";
"82081.3630554";"Distance travelled";"0";"km";"46.3601442";"15.1195747";
"82081.3630554";"Distance travelled (Today)";"6.005879999999999";"km";"46.3601442";"15.1195747";
"82081.3630554";"Distance travelled (total)";"113.83407100000002";"km";"46.3601442";"15.1195747";
"82081.3630554";"Distance travelled (Week)";"6.005879999999999";"km";"46.3601442";"15.1195747";
"82081.3630554";"Vehicle speed";"0";"km/h";"46.3601442";"15.1195747";
"82081.5301696";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3601442";"15.1195747";
"82081.7869561";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3601442";"15.1195747";
"82081.7869561";"Throttle position";"18.03921568627451";"%";"46.3601442";"15.1195747";
"82081.861419";"Average fuel consumption (Today)";"7.523060733814196";"L/100km";"46.3601442";"15.1195747";
"82081.861419";"Average fuel consumption (total)";"6.049679098272782";"L/100km";"46.3601442";"15.1195747";
"82081.861419";"Average fuel consumption (Week)";"7.523060733814196";"L/100km";"46.3601442";"15.1195747";
"82081.861419";"Calculated instant fuel rate";"0.6972802902623031";"L/h";"46.3601442";"15.1195747";
"82081.861419";"Fuel used";"0.0001294308138347296";"L";"46.3601442";"15.1195747";
"82081.861419";"Fuel used (Today)";"0.451826";"L";"46.3601442";"15.1195747";
"82081.861419";"Fuel used (total)";"6.886596";"L";"46.3601442";"15.1195747";
"82081.861419";"Fuel used (Week)";"0.451826";"L";"46.3601442";"15.1195747";
"82081.861419";"Fuel used price";"0.00021356084282730383";"€";"46.3601442";"15.1195747";
