"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"28997.4896787";"Altitude (GPS)";"309";"m";"46.2512969";"15.1623471";
"28997.4896787";"Altitude (GPS)";"309";"m";"46.2512755";"15.1623361";
"29012.3019402";"Vehicle speed";"0";"km/h";"46.2512969";"15.1623471";
"29012.5302135";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.2512969";"15.1623471";
"29012.7015147";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.2512969";"15.1623471";
"29012.7015147";"Throttle position";"18.823529411764707";"%";"46.2512969";"15.1623471";
"29012.7837917";"Calculated instant fuel rate";"0.58948816809615";"L/h";"46.2512969";"15.1623471";
"29012.7837917";"Instant engine power (based on fuel consumption)";"2.3061943744740065";"hp";"46.2512969";"15.1623471";
"29012.7837917";"MAF air flow rate";"1.75";"g/sec";"46.2512969";"15.1623471";
"29012.7837917";"Power from MAF";"2.1";"hp";"46.2512969";"15.1623471";
"29012.8744615";"Average speed";"0";"km/h";"46.2512969";"15.1623471";
"29012.8744615";"Distance travelled";"0";"km";"46.2512969";"15.1623471";
"29012.8744615";"Distance travelled (Today)";"16.199367";"km";"46.2512969";"15.1623471";
"29012.8744615";"Distance travelled (total)";"135.64600000000002";"km";"46.2512969";"15.1623471";
"29012.8744615";"Distance travelled (Week)";"16.199367";"km";"46.2512969";"15.1623471";
"29012.8744615";"Vehicle speed";"0";"km/h";"46.2512969";"15.1623471";
"29012.9589511";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.2512969";"15.1623471";
"29013.1353106";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.2512969";"15.1623471";
"29013.1353106";"Throttle position";"18.823529411764707";"%";"46.2512969";"15.1623471";
"29013.208963";"Average fuel consumption (Today)";"3.8864728479822706";"L/100km";"46.2512969";"15.1623471";
"29013.208963";"Average fuel consumption (total)";"5.872302906093802";"L/100km";"46.2512969";"15.1623471";
"29013.208963";"Average fuel consumption (Week)";"3.8864728479822706";"L/100km";"46.2512969";"15.1623471";
"29013.208963";"Calculated instant fuel rate";"0.5760141528253808";"L/h";"46.2512969";"15.1623471";
"29013.208963";"Fuel used";"6.711876912652678E-05";"L";"46.2512969";"15.1623471";
"29013.208963";"Fuel used (Today)";"0.629584";"L";"46.2512969";"15.1623471";
"29013.208963";"Fuel used (total)";"7.9655439999999995";"L";"46.2512969";"15.1623471";
"29013.208963";"Fuel used (Week)";"0.629584";"L";"46.2512969";"15.1623471";
"29013.208963";"Fuel used price";"0.00011074596905876918";"€";"46.2512969";"15.1623471";
"29013.208963";"Fuel used price (Today)";"1.0388136";"€";"46.2512969";"15.1623471";
"29013.208963";"Fuel used price (total)";"13.143147599999999";"€";"46.2512969";"15.1623471";
"29013.208963";"Fuel used price (Week)";"1.0388136";"€";"46.2512969";"15.1623471";
"29013.208963";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";"46.2512969";"15.1623471";
"29013.208963";"MAF air flow rate";"1.71";"g/sec";"46.2512969";"15.1623471";
"29013.208963";"Power from MAF";"2.052";"hp";"46.2512969";"15.1623471";
"29013.3146926";"Average speed";"0";"km/h";"46.2512969";"15.1623471";
"29013.3146926";"Distance travelled";"0";"km";"46.2512969";"15.1623471";
"29013.3146926";"Distance travelled (Today)";"16.199367";"km";"46.2512969";"15.1623471";
"29013.3146926";"Distance travelled (total)";"135.64600000000002";"km";"46.2512969";"15.1623471";
"29013.3146926";"Distance travelled (Week)";"16.199367";"km";"46.2512969";"15.1623471";
"29013.3146926";"Vehicle speed";"0";"km/h";"46.2512969";"15.1623471";
