"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"50845.6593211";"Altitude (GPS)";"497.01906548959425";"m";"46.3706807";"15.1257419";
"50852.7470425";"Calculated engine load value";"31.372549019607842";"%";"46.3706807";"15.1257419";
"50852.7470425";"Calculated instant fuel rate";"1.0126696832579185";"L/h";"46.3706807";"15.1257419";
"50852.7470425";"Instant engine power (based on fuel consumption)";"4.483823511916633";"hp";"46.3706807";"15.1257419";
"50852.7470425";"MAF air flow rate";"11.19";"g/sec";"46.3706807";"15.1257419";
"50852.7470425";"Power from MAF";"13.427999999999999";"hp";"46.3706807";"15.1257419";
"50852.7470425";"Vehicle speed";"0";"km/h";"46.3706807";"15.1257419";
"50852.8862057";"Average fuel consumption (Today)";"10.348929096576096";"L/100km";"46.3706807";"15.1257419";
"50852.8862057";"Average fuel consumption (total)";"10.521379899477479";"L/100km";"46.3706807";"15.1257419";
"50852.8862057";"Average fuel consumption (Week)";"10.348929096576096";"L/100km";"46.3706807";"15.1257419";
"50852.8862057";"Average speed";"0";"km/h";"46.3706807";"15.1257419";
"50852.8862057";"Calculated engine load value";"31.764705882352942";"%";"46.3706807";"15.1257419";
"50852.8862057";"Calculated instant fuel rate";"1.0079185520361993";"L/h";"46.3706807";"15.1257419";
"50852.8862057";"Distance travelled";"0";"km";"46.3706807";"15.1257419";
"50852.8862057";"Distance travelled (Today)";"79.41986";"km";"46.3706807";"15.1257419";
"50852.8862057";"Distance travelled (total)";"86.27996599999999";"km";"46.3706807";"15.1257419";
"50852.8862057";"Distance travelled (Week)";"79.41986";"km";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used";"3.535568297511313E-05";"L";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used (Today)";"8.219105";"L";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used (total)";"9.077843000000001";"L";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used (Week)";"8.219105";"L";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used price";"3.5709239804864266E-05";"$";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used price (Today)";"8.30129605";"$";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used price (total)";"9.16862143";"$";"46.3706807";"15.1257419";
"50852.8862057";"Fuel used price (Week)";"8.30129605";"$";"46.3706807";"15.1257419";
"50852.8862057";"Instant engine power (based on fuel consumption)";"4.4627868064317715";"hp";"46.3706807";"15.1257419";
"50852.8862057";"MAF air flow rate";"11";"g/sec";"46.3706807";"15.1257419";
"50852.8862057";"Power from MAF";"13.2";"hp";"46.3706807";"15.1257419";
"50852.8862057";"Vehicle speed";"0";"km/h";"46.3706807";"15.1257419";
"50852.9904509";"Average fuel consumption (Today)";"10.34896057484866";"L/100km";"46.3706807";"15.1257419";
"50852.9904509";"Average fuel consumption (total)";"10.521408874917732";"L/100km";"46.3706807";"15.1257419";
"50852.9904509";"Average fuel consumption (Week)";"10.34896057484866";"L/100km";"46.3706807";"15.1257419";
"50852.9904509";"Average speed";"0";"km/h";"46.3706807";"15.1257419";
"50852.9904509";"Calculated engine load value";"31.372549019607842";"%";"46.3706807";"15.1257419";
"50852.9904509";"Calculated instant fuel rate";"0.9828054298642531";"L/h";"46.3706807";"15.1257419";
"50852.9904509";"Distance travelled";"0";"km";"46.3706807";"15.1257419";
"50852.9904509";"Distance travelled (Today)";"79.41986";"km";"46.3706807";"15.1257419";
"50852.9904509";"Distance travelled (total)";"86.27996599999999";"km";"46.3706807";"15.1257419";
"50852.9904509";"Distance travelled (Week)";"79.41986";"km";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used";"6.064094617269986E-05";"L";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used (Today)";"8.21913";"L";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used (total)";"9.077868";"L";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used (Week)";"8.21913";"L";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used price";"6.124735563442686E-05";"$";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used price (Today)";"8.3013213";"$";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used price (total)";"9.16864668";"$";"46.3706807";"15.1257419";
"50852.9904509";"Fuel used price (Week)";"8.3013213";"$";"46.3706807";"15.1257419";
"50852.9904509";"Instant engine power (based on fuel consumption)";"4.351592791726062";"hp";"46.3706807";"15.1257419";
"50852.9904509";"MAF air flow rate";"10.86";"g/sec";"46.3706807";"15.1257419";
"50852.9904509";"Power from MAF";"13.031999999999998";"hp";"46.3706807";"15.1257419";
"50852.9904509";"Vehicle speed";"0";"km/h";"46.3706807";"15.1257419";
"50853.0527489";"Average fuel consumption (Today)";"10.348981980074";"L/100km";"46.3706807";"15.1257419";
"50853.0527489";"Average fuel consumption (total)";"10.521428578217105";"L/100km";"46.3706807";"15.1257419";
