"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"44178.4432736";"Altitude (GPS)";"0";"m";"46.3579208";"15.1084828";
"44178.4432736";"Altitude (GPS)";"443.4411028840377";"m";"46.3579208";"15.1084828";
"44178.4432736";"Altitude (GPS)";"443.3057157391829";"m";"46.3579208";"15.1084828";
"44178.4432736";"Speed (GPS)";"0";"km/h";"46.3579208";"15.1084828";
"44178.7252444";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44178.7252444";"Calculated instant fuel rate";"1.3933257918552036";"L/h";"46.3579208";"15.1084828";
"44178.7252444";"Instant engine power (based on fuel consumption)";"6.169264320406297";"hp";"46.3579208";"15.1084828";
"44178.7252444";"MAF air flow rate";"11.3";"g/sec";"46.3579208";"15.1084828";
"44178.7252444";"Power from MAF";"13.56";"hp";"46.3579208";"15.1084828";
"44178.7252444";"Vehicle acceleration";"-0";"g";"46.3579208";"15.1084828";
"44178.7252444";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44178.9692929";"Average fuel consumption (Today)";"11.749309923211593";"L/100km";"46.3579208";"15.1084828";
"44178.9692929";"Average fuel consumption (total)";"11.910196273658565";"L/100km";"46.3579208";"15.1084828";
"44178.9692929";"Average fuel consumption (Week)";"11.749309923211593";"L/100km";"46.3579208";"15.1084828";
"44178.9692929";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44178.9692929";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44178.9692929";"Calculated instant fuel rate";"1.4278506787330316";"L/h";"46.3579208";"15.1084828";
"44178.9692929";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44178.9692929";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44178.9692929";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44178.9692929";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used";"9.682013511123681E-05";"L";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used (Today)";"3.044265";"L";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used (total)";"3.903003";"L";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used (Week)";"3.044265";"L";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used price";"9.778833646234919E-05";"$";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used price (Today)";"3.07470765";"$";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used price (total)";"3.94203303";"$";"46.3579208";"15.1084828";
"44178.9692929";"Fuel used price (Week)";"3.07470765";"$";"46.3579208";"15.1084828";
"44178.9692929";"Instant engine power (based on fuel consumption)";"6.3221310469296395";"hp";"46.3579208";"15.1084828";
"44178.9692929";"MAF air flow rate";"11.58";"g/sec";"46.3579208";"15.1084828";
"44178.9692929";"Power from MAF";"13.895999999999999";"hp";"46.3579208";"15.1084828";
"44178.9692929";"Vehicle acceleration";"-0";"g";"46.3579208";"15.1084828";
"44178.9692929";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.0208983";"Average fuel consumption (Today)";"11.749387113008954";"L/100km";"46.3579208";"15.1084828";
"44179.0208983";"Average fuel consumption (total)";"11.910257304594355";"L/100km";"46.3579208";"15.1084828";
"44179.0208983";"Average fuel consumption (Week)";"11.749387113008954";"L/100km";"46.3579208";"15.1084828";
"44179.0208983";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.0208983";"Calculated engine load value";"42.745098039215684";"%";"46.3579208";"15.1084828";
"44179.0208983";"Calculated instant fuel rate";"1.4031900452488688";"L/h";"46.3579208";"15.1084828";
"44179.0208983";"Distance travelled";"0";"km";"46.3579208";"15.1084828";
"44179.0208983";"Distance travelled (Today)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.0208983";"Distance travelled (total)";"32.770266";"km";"46.3579208";"15.1084828";
"44179.0208983";"Distance travelled (Week)";"25.910159999999998";"km";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used";"0.00011685726020487683";"L";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used (Today)";"3.0442850000000004";"L";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used (total)";"3.903023";"L";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used (Week)";"3.0442850000000004";"L";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used price";"0.0001180258328069256";"$";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used price (Today)";"3.0747278500000004";"$";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used price (total)";"3.94205323";"$";"46.3579208";"15.1084828";
"44179.0208983";"Fuel used price (Week)";"3.0747278500000004";"$";"46.3579208";"15.1084828";
"44179.0208983";"Instant engine power (based on fuel consumption)";"6.212940527984396";"hp";"46.3579208";"15.1084828";
"44179.0208983";"MAF air flow rate";"11.38";"g/sec";"46.3579208";"15.1084828";
"44179.0208983";"Power from MAF";"13.656";"hp";"46.3579208";"15.1084828";
"44179.0208983";"Vehicle acceleration";"-0";"g";"46.3579208";"15.1084828";
"44179.0208983";"Vehicle speed";"0";"km/h";"46.3579208";"15.1084828";
"44179.0599463";"Average fuel consumption (Today)";"11.749445005356973";"L/100km";"46.3579208";"15.1084828";
"44179.0599463";"Average fuel consumption (total)";"11.910303077796195";"L/100km";"46.3579208";"15.1084828";
"44179.0599463";"Average fuel consumption (Week)";"11.749445005356973";"L/100km";"46.3579208";"15.1084828";
"44179.0599463";"Average speed";"0";"km/h";"46.3579208";"15.1084828";
