"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"42462.0325222";"Altitude (GPS)";"0";"m";"46.3648077";"15.1098637";
"42462.0325222";"Altitude (GPS)";"450.4000244140625";"m";"46.3648077";"15.1098637";
"42462.0325222";"Speed (GPS)";"0";"km/h";"46.3648077";"15.1098637";
"42462.2859489";"Calculated engine load value";"33.333333333333336";"%";"46.3648077";"15.1098637";
"42462.2859489";"Calculated instant fuel rate";"0.7528846153846155";"L/h";"46.3648077";"15.1098637";
"42462.2859489";"Instant engine power (based on fuel consumption)";"3.3335665084407013";"hp";"46.3648077";"15.1098637";
"42462.2859489";"MAF air flow rate";"7.83";"g/sec";"46.3648077";"15.1098637";
"42462.2859489";"Power from MAF";"9.395999999999999";"hp";"46.3648077";"15.1098637";
"42462.2859489";"Vehicle acceleration";"-0";"g";"46.3648077";"15.1098637";
"42462.2859489";"Vehicle speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.3368419";"Average fuel consumption (Today)";"12.667163822869217";"L/100km";"46.3648077";"15.1098637";
"42462.3368419";"Average fuel consumption (total)";"12.615925895467452";"L/100km";"46.3648077";"15.1098637";
"42462.3368419";"Average fuel consumption (Week)";"12.667163822869217";"L/100km";"46.3648077";"15.1098637";
"42462.3368419";"Average speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.3368419";"Calculated engine load value";"31.764705882352942";"%";"46.3648077";"15.1098637";
"42462.3368419";"Calculated instant fuel rate";"0.7302828054298643";"L/h";"46.3648077";"15.1098637";
"42462.3368419";"Distance travelled";"0";"km";"46.3648077";"15.1098637";
"42462.3368419";"Distance travelled (Today)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.3368419";"Distance travelled (total)";"19.990788";"km";"46.3648077";"15.1098637";
"42462.3368419";"Distance travelled (Week)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used";"1.031244520927602E-05";"L";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used (Today)";"1.663285";"L";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used (total)";"2.522023";"L";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used (Week)";"1.663285";"L";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used price";"1.041556966136878E-05";"$";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used price (Today)";"1.6799178499999998";"$";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used price (total)";"2.5472432300000003";"$";"46.3648077";"15.1098637";
"42462.3368419";"Fuel used price (Week)";"1.6799178499999998";"$";"46.3648077";"15.1098637";
"42462.3368419";"Instant engine power (based on fuel consumption)";"3.2334918952055647";"hp";"46.3648077";"15.1098637";
"42462.3368419";"MAF air flow rate";"7.97";"g/sec";"46.3648077";"15.1098637";
"42462.3368419";"Power from MAF";"9.564";"hp";"46.3648077";"15.1098637";
"42462.3368419";"Vehicle acceleration";"-0";"g";"46.3648077";"15.1098637";
"42462.3368419";"Vehicle speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.4019511";"Average fuel consumption (Today)";"12.66727044337834";"L/100km";"46.3648077";"15.1098637";
"42462.4019511";"Average fuel consumption (total)";"12.615995927724311";"L/100km";"46.3648077";"15.1098637";
"42462.4019511";"Average fuel consumption (Week)";"12.66727044337834";"L/100km";"46.3648077";"15.1098637";
"42462.4019511";"Average speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.4019511";"Calculated engine load value";"32.15686274509804";"%";"46.3648077";"15.1098637";
"42462.4019511";"Calculated instant fuel rate";"0.7569230769230769";"L/h";"46.3648077";"15.1098637";
"42462.4019511";"Distance travelled";"0";"km";"46.3648077";"15.1098637";
"42462.4019511";"Distance travelled (Today)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.4019511";"Distance travelled (total)";"19.990788";"km";"46.3648077";"15.1098637";
"42462.4019511";"Distance travelled (Week)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used";"2.400600367081448E-05";"L";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used (Today)";"1.6632989999999999";"L";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used (total)";"2.522037";"L";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used (Week)";"1.6632989999999999";"L";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used price";"2.4246063707522627E-05";"$";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used price (Today)";"1.6799319899999998";"$";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used price (total)";"2.54725737";"$";"46.3648077";"15.1098637";
"42462.4019511";"Fuel used price (Week)";"1.6799319899999998";"$";"46.3648077";"15.1098637";
"42462.4019511";"Instant engine power (based on fuel consumption)";"3.3514477081028353";"hp";"46.3648077";"15.1098637";
"42462.4019511";"MAF air flow rate";"8.16";"g/sec";"46.3648077";"15.1098637";
"42462.4019511";"Power from MAF";"9.792";"hp";"46.3648077";"15.1098637";
"42462.4019511";"Vehicle acceleration";"-0";"g";"46.3648077";"15.1098637";
"42462.4019511";"Vehicle speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.4536277";"Average fuel consumption (Today)";"12.66735421663551";"L/100km";"46.3648077";"15.1098637";
"42462.4536277";"Average fuel consumption (total)";"12.616050953068983";"L/100km";"46.3648077";"15.1098637";
"42462.4536277";"Average fuel consumption (Week)";"12.66735421663551";"L/100km";"46.3648077";"15.1098637";
"42462.4536277";"Average speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.4536277";"Calculated engine load value";"32.549019607843135";"%";"46.3648077";"15.1098637";
"42462.4536277";"Calculated instant fuel rate";"0.7351696832579186";"L/h";"46.3648077";"15.1098637";
"42462.4536277";"Distance travelled";"0";"km";"46.3648077";"15.1098637";
"42462.4536277";"Distance travelled (Today)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.4536277";"Distance travelled (total)";"19.990788";"km";"46.3648077";"15.1098637";
"42462.4536277";"Distance travelled (Week)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used";"3.460322959841629E-05";"L";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used (Today)";"1.6633099999999998";"L";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used (total)";"2.522048";"L";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used (Week)";"1.6633099999999998";"L";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used price";"3.4949261894400454E-05";"$";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used price (Today)";"1.6799430999999998";"$";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used price (total)";"2.54726848";"$";"46.3648077";"15.1098637";
"42462.4536277";"Fuel used price (Week)";"1.6799430999999998";"$";"46.3648077";"15.1098637";
"42462.4536277";"Instant engine power (based on fuel consumption)";"3.255129649418568";"hp";"46.3648077";"15.1098637";
"42462.4536277";"MAF air flow rate";"7.83";"g/sec";"46.3648077";"15.1098637";
"42462.4536277";"Power from MAF";"9.395999999999999";"hp";"46.3648077";"15.1098637";
"42462.4536277";"Vehicle acceleration";"-0";"g";"46.3648077";"15.1098637";
"42462.4536277";"Vehicle speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.5206025";"Average fuel consumption (Today)";"12.667460837144636";"L/100km";"46.3648077";"15.1098637";
"42462.5206025";"Average fuel consumption (total)";"12.616120985325843";"L/100km";"46.3648077";"15.1098637";
"42462.5206025";"Average fuel consumption (Week)";"12.667460837144636";"L/100km";"46.3648077";"15.1098637";
"42462.5206025";"Average speed";"0";"km/h";"46.3648077";"15.1098637";
"42462.5206025";"Calculated engine load value";"32.15686274509804";"%";"46.3648077";"15.1098637";
"42462.5206025";"Calculated instant fuel rate";"0.7337330316742082";"L/h";"46.3648077";"15.1098637";
"42462.5206025";"Distance travelled";"0";"km";"46.3648077";"15.1098637";
"42462.5206025";"Distance travelled (Today)";"13.130681999999998";"km";"46.3648077";"15.1098637";
"42462.5206025";"Distance travelled (total)";"19.990788";"km";"46.3648077";"15.1098637";
