"SECONDS";"PID";"VALUE";"UNITS";
"58100.0361358";"Vehicle speed";"0";"km/h";
"58100.1438125";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58100.3295407";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58100.3295407";"Throttle position";"20";"%";
"58100.3800579";"Calculated instant fuel rate";"0.966760595677686";"L/h";
"58100.3800579";"Instant engine power (based on fuel consumption)";"3.7821587741373706";"hp";
"58100.3800579";"MAF air flow rate";"2.87";"g/sec";
"58100.3800579";"Power from MAF";"3.444";"hp";
"58100.4370034";"Average speed";"0";"km/h";
"58100.4370034";"Distance travelled";"0";"km";
"58100.4370034";"Distance travelled (Today)";"1.236815";"km";
"58100.4370034";"Distance travelled (total)";"42.66713500000001";"km";
"58100.4370034";"Distance travelled (Week)";"33.601524";"km";
"58100.4370034";"Vehicle speed";"0";"km/h";
"58100.488061";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58100.5842937";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58100.5842937";"Throttle position";"20";"%";
"58100.6333622";"Average fuel consumption (Today)";"10.951759155572985";"L/100km";
"58100.6333622";"Average fuel consumption (total)";"6.509417611470748";"L/100km";
"58100.6333622";"Average fuel consumption (Week)";"6.624836421109947";"L/100km";
"58100.6333622";"Calculated instant fuel rate";"0.9566550842246091";"L/h";
"58100.6333622";"Fuel used";"6.666543962552377E-05";"L";
"58100.6333622";"Fuel used (Today)";"0.13545300000000002";"L";
"58100.6333622";"Fuel used (total)";"2.777382";"L";
"58100.6333622";"Fuel used (Week)";"2.2260459999999997";"L";
"58100.6333622";"Fuel used price";"0.00010999797538211421";"€";
"58100.6333622";"Fuel used price (Today)";"0.22349744999999996";"€";
"58100.6333622";"Fuel used price (total)";"4.5826803";"€";
"58100.6333622";"Fuel used price (Week)";"3.6729758999999995";"€";
"58100.6333622";"Instant engine power (based on fuel consumption)";"3.742624013432102";"hp";
"58100.6333622";"MAF air flow rate";"2.84";"g/sec";
"58100.6333622";"Power from MAF";"3.408";"hp";
"58100.6825149";"Average speed";"0";"km/h";
"58100.6825149";"Distance travelled";"0";"km";
"58100.6825149";"Distance travelled (Today)";"1.236815";"km";
"58100.6825149";"Distance travelled (total)";"42.66713500000001";"km";
"58100.6825149";"Distance travelled (Week)";"33.601524";"km";
"58100.6825149";"Vehicle speed";"0";"km/h";
"58100.7203601";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58100.8278334";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58100.8278334";"Throttle position";"20";"%";
"58100.925392";"Average fuel consumption (Today)";"10.958065676758448";"L/100km";
"58100.925392";"Average fuel consumption (total)";"6.509600421964117";"L/100km";
"58100.925392";"Average fuel consumption (Week)";"6.62506855343823";"L/100km";
"58100.925392";"Calculated instant fuel rate";"0.966760595677686";"L/h";
"58100.925392";"Fuel used";"0.00014506787097717572";"L";
"58100.925392";"Fuel used (Today)";"0.135531";"L";
"58100.925392";"Fuel used (total)";"2.7774599999999996";"L";
"58100.925392";"Fuel used (Week)";"2.2261239999999995";"L";
"58100.925392";"Fuel used price";"0.00023936198711233992";"€";
"58100.925392";"Fuel used price (Today)";"0.22362614999999997";"€";
"58100.925392";"Fuel used price (total)";"4.582809";"€";
"58100.925392";"Fuel used price (Week)";"3.6731045999999994";"€";
"58100.925392";"Instant engine power (based on fuel consumption)";"3.7821587741373706";"hp";
"58100.925392";"MAF air flow rate";"2.87";"g/sec";
"58100.925392";"Power from MAF";"3.444";"hp";
"58101.0118539";"Average speed";"0";"km/h";
"58101.0118539";"Distance travelled";"0";"km";
"58101.0118539";"Distance travelled (Today)";"1.236815";"km";
"58101.0118539";"Distance travelled (total)";"42.66713500000001";"km";
"58101.0118539";"Distance travelled (Week)";"33.601524";"km";
"58101.0118539";"Vehicle speed";"0";"km/h";
"58101.0359441";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58101.1086497";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58101.1086497";"Throttle position";"20";"%";
"58101.1453982";"Average fuel consumption (Today)";"10.962755141229692";"L/100km";
"58101.1453982";"Average fuel consumption (total)";"6.509736357972006";"L/100km";
"58101.1453982";"Average fuel consumption (Week)";"6.625241164656698";"L/100km";
"58101.1453982";"Calculated instant fuel rate";"0.9566550842246091";"L/h";
"58101.1453982";"Fuel used";"0.00020353071074678662";"L";
"58101.1453982";"Fuel used (Today)";"0.13558900000000002";"L";
"58101.1453982";"Fuel used (total)";"2.7775179999999997";"L";
"58101.1453982";"Fuel used (Week)";"2.2261819999999997";"L";
"58101.1453982";"Fuel used price";"0.0003358256727321979";"€";
"58101.1453982";"Fuel used price (Today)";"0.22372184999999997";"€";
"58101.1453982";"Fuel used price (total)";"4.5829047";"€";
"58101.1453982";"Fuel used price (Week)";"3.6732002999999995";"€";
"58101.1453982";"Instant engine power (based on fuel consumption)";"3.742624013432102";"hp";
"58101.1453982";"MAF air flow rate";"2.84";"g/sec";
"58101.1453982";"Power from MAF";"3.408";"hp";
"58101.1689821";"Average speed";"0";"km/h";
"58101.1689821";"Distance travelled";"0";"km";
"58101.1689821";"Distance travelled (Today)";"1.236815";"km";
"58101.1689821";"Distance travelled (total)";"42.66713500000001";"km";
"58101.1689821";"Distance travelled (Week)";"33.601524";"km";
"58101.1689821";"Vehicle acceleration";"0";"g";
"58101.1689821";"Vehicle speed";"0";"km/h";
"58101.2040208";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"58101.2641423";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"58101.2641423";"Throttle position";"20";"%";
"58101.3006372";"Average fuel consumption (Today)";"10.966070107493845";"L/100km";
"58101.3006372";"Average fuel consumption (total)";"6.509832450667238";"L/100km";
