"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"57800.0779591";"Altitude (GPS)";"455.1000061035156";"m";"46.3525105";"15.1275569";
"57800.0779591";"Altitude (GPS)";"455.1000061035156";"m";"46.3525113";"15.1275407";
"57800.0779591";"Altitude (GPS)";"455.1000061035156";"m";"46.3525061";"15.1275485";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3524545";"15.127349";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.352427";"15.1272449";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527671";"15.127269";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.352775";"15.1272264";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527555";"15.1272119";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527353";"15.1271863";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527327";"15.1271684";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527413";"15.1271466";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527469";"15.1271187";
"57800.0779591";"Altitude (GPS)";"455.20001220703125";"m";"46.3527512";"15.1271085";
"57809.5031386";"Vehicle speed";"0";"km/h";"46.3525105";"15.1275569";
"57809.5779045";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3525105";"15.1275569";
"57809.7605407";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3525105";"15.1275569";
"57809.7605407";"Throttle position";"18.431372549019606";"%";"46.3525105";"15.1275569";
"57809.8484232";"Calculated instant fuel rate";"0.5052755726538428";"L/h";"46.3525105";"15.1275569";
"57809.8484232";"Instant engine power (based on fuel consumption)";"1.9767380352634336";"hp";"46.3525105";"15.1275569";
"57809.8484232";"MAF air flow rate";"1.5";"g/sec";"46.3525105";"15.1275569";
"57809.8484232";"Power from MAF";"1.7999999999999998";"hp";"46.3525105";"15.1275569";
"57810.1852915";"Average speed";"0";"km/h";"46.3525105";"15.1275569";
"57810.1852915";"Distance travelled";"0";"km";"46.3525105";"15.1275569";
"57810.1852915";"Distance travelled (Today)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.1852915";"Distance travelled (total)";"81.09413400000001";"km";"46.3525105";"15.1275569";
"57810.1852915";"Distance travelled (Week)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.1852915";"Vehicle speed";"0";"km/h";"46.3525105";"15.1275569";
"57810.2727591";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3525105";"15.1275569";
"57810.4441537";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3525105";"15.1275569";
"57810.4441537";"Throttle position";"18.431372549019606";"%";"46.3525105";"15.1275569";
"57810.5275545";"Average fuel consumption (Today)";"6.228810259454092";"L/100km";"46.3525105";"15.1275569";
"57810.5275545";"Average fuel consumption (total)";"6.296329645742315";"L/100km";"46.3525105";"15.1275569";
"57810.5275545";"Average fuel consumption (Week)";"6.228810259454092";"L/100km";"46.3525105";"15.1275569";
"57810.5275545";"Calculated instant fuel rate";"0.49853856501845834";"L/h";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used";"9.297692998908399E-05";"L";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used (Today)";"0.562279";"L";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used (total)";"5.105953999999999";"L";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used (Week)";"0.562279";"L";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used price";"0.0001534119344819886";"€";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used price (Today)";"0.9277603499999999";"€";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used price (total)";"8.424824100000002";"€";"46.3525105";"15.1275569";
"57810.5275545";"Fuel used price (Week)";"0.9277603499999999";"€";"46.3525105";"15.1275569";
"57810.5275545";"Instant engine power (based on fuel consumption)";"1.9503815281265884";"hp";"46.3525105";"15.1275569";
"57810.5275545";"MAF air flow rate";"1.48";"g/sec";"46.3525105";"15.1275569";
"57810.5275545";"Power from MAF";"1.776";"hp";"46.3525105";"15.1275569";
"57810.6197797";"Average speed";"0";"km/h";"46.3525105";"15.1275569";
"57810.6197797";"Distance travelled";"0";"km";"46.3525105";"15.1275569";
"57810.6197797";"Distance travelled (Today)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.6197797";"Distance travelled (total)";"81.09413400000001";"km";"46.3525105";"15.1275569";
"57810.6197797";"Distance travelled (Week)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.6197797";"Vehicle speed";"0";"km/h";"46.3525105";"15.1275569";
"57810.7035465";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3525105";"15.1275569";
"57810.7883808";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3525105";"15.1275569";
"57810.7883808";"Throttle position";"18.431372549019606";"%";"46.3525105";"15.1275569";
"57810.8241155";"Average fuel consumption (Today)";"6.229264448959013";"L/100km";"46.3525105";"15.1275569";
"57810.8241155";"Average fuel consumption (total)";"6.2963802042697665";"L/100km";"46.3525105";"15.1275569";
"57810.8241155";"Average fuel consumption (Week)";"6.229264448959013";"L/100km";"46.3525105";"15.1275569";
"57810.8241155";"Calculated instant fuel rate";"0.49180155738307374";"L/h";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used";"0.0001334802718339449";"L";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used (Today)";"0.5623199999999999";"L";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used (total)";"5.105994999999999";"L";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used (Week)";"0.5623199999999999";"L";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used price";"0.00022024244852600905";"€";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used price (Today)";"0.9278279999999999";"€";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used price (total)";"8.42489175";"€";"46.3525105";"15.1275569";
"57810.8241155";"Fuel used price (Week)";"0.9278279999999999";"€";"46.3525105";"15.1275569";
"57810.8241155";"Instant engine power (based on fuel consumption)";"1.9240250209897427";"hp";"46.3525105";"15.1275569";
"57810.8241155";"MAF air flow rate";"1.46";"g/sec";"46.3525105";"15.1275569";
"57810.8241155";"Power from MAF";"1.752";"hp";"46.3525105";"15.1275569";
"57810.9132152";"Average speed";"0";"km/h";"46.3525105";"15.1275569";
"57810.9132152";"Distance travelled";"0";"km";"46.3525105";"15.1275569";
"57810.9132152";"Distance travelled (Today)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.9132152";"Distance travelled (total)";"81.09413400000001";"km";"46.3525105";"15.1275569";
"57810.9132152";"Distance travelled (Week)";"9.027069000000001";"km";"46.3525105";"15.1275569";
"57810.9132152";"Vehicle speed";"0";"km/h";"46.3525105";"15.1275569";
"57811.0093853";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.3525105";"15.1275569";
"57811.1276478";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.3525105";"15.1275569";
"57811.1276478";"Throttle position";"18.431372549019606";"%";"46.3525105";"15.1275569";
"57811.1530498";"Average fuel consumption (Today)";"6.22977402742795";"L/100km";"46.3525105";"15.1275569";
"57811.1530498";"Average fuel consumption (total)";"6.296436928471299";"L/100km";"46.3525105";"15.1275569";
