"SECONDS";"PID";"VALUE";"UNITS";
"42899.6252022";"Vehicle speed";"0";"km/h";
"42899.6982219";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42899.8406787";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42899.8406787";"Throttle position";"18.431372549019606";"%";
"42899.8897342";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42899.8897342";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42899.8897342";"MAF air flow rate";"1.71";"g/sec";
"42899.8897342";"Power from MAF";"2.052";"hp";
"42899.9467877";"Average speed";"0";"km/h";
"42899.9467877";"Distance travelled";"0";"km";
"42899.9467877";"Distance travelled (Today)";"0";"km";
"42899.9467877";"Distance travelled (total)";"41.43032000000001";"km";
"42899.9467877";"Distance travelled (Week)";"32.364709";"km";
"42899.9467877";"Vehicle speed";"0";"km/h";
"42900.0065474";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42900.1061163";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42900.1061163";"Throttle position";"18.431372549019606";"%";
"42900.1570143";"Average fuel consumption (total)";"6.4097453266110405";"L/100km";
"42900.1570143";"Average fuel consumption (Week)";"6.501655862254161";"L/100km";
"42900.1570143";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42900.1570143";"Fuel used";"4.232105583992458E-05";"L";
"42900.1570143";"Fuel used (Today)";"0.013649";"L";
"42900.1570143";"Fuel used (total)";"2.6555779999999998";"L";
"42900.1570143";"Fuel used (Week)";"2.1042419999999997";"L";
"42900.1570143";"Fuel used price";"6.982974213587555E-05";"€";
"42900.1570143";"Fuel used price (Today)";"0.02252085";"€";
"42900.1570143";"Fuel used price (total)";"4.3817037";"€";
"42900.1570143";"Fuel used price (Week)";"3.4719992999999993";"€";
"42900.1570143";"Instant engine power (based on fuel consumption)";"2.2534813602003143";"hp";
"42900.1570143";"MAF air flow rate";"1.71";"g/sec";
"42900.1570143";"Power from MAF";"2.052";"hp";
"42900.242255";"Average speed";"0";"km/h";
"42900.242255";"Distance travelled";"0";"km";
"42900.242255";"Distance travelled (Today)";"0";"km";
"42900.242255";"Distance travelled (total)";"41.43032000000001";"km";
"42900.242255";"Distance travelled (Week)";"32.364709";"km";
"42900.242255";"Vehicle speed";"0";"km/h";
"42900.2811617";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42900.3581668";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42900.3581668";"Throttle position";"18.431372549019606";"%";
"42900.4011855";"Average fuel consumption (total)";"6.409839460568973";"L/100km";
"42900.4011855";"Average fuel consumption (Week)";"6.501776363878322";"L/100km";
"42900.4011855";"Calculated instant fuel rate";"0.5726456490076886";"L/h";
"42900.4011855";"Fuel used";"8.113143070800658E-05";"L";
"42900.4011855";"Fuel used (Today)";"0.013687999999999999";"L";
"42900.4011855";"Fuel used (total)";"2.655617";"L";
"42900.4011855";"Fuel used (Week)";"2.104281";"L";
"42900.4011855";"Fuel used price";"0.00013386686066821084";"€";
"42900.4011855";"Fuel used price (Today)";"0.022585199999999996";"€";
"42900.4011855";"Fuel used price (total)";"4.381768050000001";"€";
"42900.4011855";"Fuel used price (Week)";"3.4720636499999995";"€";
"42900.4011855";"Instant engine power (based on fuel consumption)";"2.2403031066318917";"hp";
"42900.4011855";"MAF air flow rate";"1.7";"g/sec";
"42900.4011855";"Power from MAF";"2.04";"hp";
"42900.4413933";"Average speed";"0";"km/h";
"42900.4413933";"Distance travelled";"0";"km";
"42900.4413933";"Distance travelled (Today)";"0";"km";
"42900.4413933";"Distance travelled (total)";"41.43032000000001";"km";
"42900.4413933";"Distance travelled (Week)";"32.364709";"km";
"42900.4413933";"Vehicle speed";"0";"km/h";
"42900.4786121";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"42900.5570319";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"42900.5570319";"Throttle position";"18.431372549019606";"%";
"42900.6063951";"Average fuel consumption (total)";"6.40991911237953";"L/100km";
"42900.6063951";"Average fuel consumption (Week)";"6.501878326791073";"L/100km";
"42900.6063951";"Calculated instant fuel rate";"0.5760141528253808";"L/h";
"42900.6063951";"Fuel used";"0.00011396666947880967";"L";
"42900.6063951";"Fuel used (Today)";"0.013720999999999999";"L";
"42900.6063951";"Fuel used (total)";"2.6556499999999996";"L";
