"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"40265.6692213";"Altitude (GPS)";"455.1000061035156";"m";"46.352563";"15.1273695";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.3525565";"15.1274326";
"40265.6692213";"Altitude (GPS)";"455.1000061035156";"m";"46.3526256";"15.1273708";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.3524316";"15.127324";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.352764";"15.1274326";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.352772";"15.1274464";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.3526931";"15.1274488";
"40265.6692213";"Altitude (GPS)";"455.20001220703125";"m";"46.3527081";"15.127452";
"40275.3300667";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40275.4110473";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40275.5925631";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40275.5925631";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40275.6804214";"Calculated instant fuel rate";"0.7713873742515334";"L/h";"46.352563";"15.1273695";
"40275.6804214";"Instant engine power (based on fuel consumption)";"3.0178200671688424";"hp";"46.352563";"15.1273695";
"40275.6804214";"MAF air flow rate";"2.29";"g/sec";"46.352563";"15.1273695";
"40275.6804214";"Power from MAF";"2.7479999999999998";"hp";"46.352563";"15.1273695";
"40275.8487034";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40275.8487034";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40275.8487034";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40275.8487034";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40275.8487034";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40275.8487034";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40275.9271852";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40276.2755921";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40276.2755921";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40276.3229705";"Average fuel consumption (Today)";"5.404192206273694";"L/100km";"46.352563";"15.1273695";
"40276.3229705";"Average fuel consumption (total)";"6.243287490886926";"L/100km";"46.352563";"15.1273695";
"40276.3229705";"Average fuel consumption (Week)";"5.404192206273694";"L/100km";"46.352563";"15.1273695";
"40276.3229705";"Calculated instant fuel rate";"0.7680188704338413";"L/h";"46.352563";"15.1273695";
"40276.3229705";"Fuel used";"0.0001355946275971102";"L";"46.352563";"15.1273695";
"40276.3229705";"Fuel used (Today)";"0.285449";"L";"46.352563";"15.1273695";
"40276.3229705";"Fuel used (total)";"4.829123999999999";"L";"46.352563";"15.1273695";
"40276.3229705";"Fuel used (Week)";"0.285449";"L";"46.352563";"15.1273695";
"40276.3229705";"Fuel used price";"0.0002237311355352318";"€";"46.352563";"15.1273695";
"40276.3229705";"Fuel used price (Today)";"0.47099084999999996";"€";"46.352563";"15.1273695";
"40276.3229705";"Fuel used price (total)";"7.9680546";"€";"46.352563";"15.1273695";
"40276.3229705";"Fuel used price (Week)";"0.47099084999999996";"€";"46.352563";"15.1273695";
"40276.3229705";"Instant engine power (based on fuel consumption)";"3.0046418136004203";"hp";"46.352563";"15.1273695";
"40276.3229705";"MAF air flow rate";"2.2800000000000002";"g/sec";"46.352563";"15.1273695";
"40276.3229705";"Power from MAF";"2.736";"hp";"46.352563";"15.1273695";
"40276.3671867";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40276.3671867";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40276.3671867";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40276.3671867";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40276.3671867";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40276.3671867";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40276.3910878";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40276.4635786";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40276.4635786";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40276.4993004";"Average fuel consumption (Today)";"5.404911631823752";"L/100km";"46.352563";"15.1273695";
"40276.4993004";"Average fuel consumption (total)";"6.243336618829106";"L/100km";"46.352563";"15.1273695";
"40276.4993004";"Average fuel consumption (Week)";"5.404911631823752";"L/100km";"46.352563";"15.1273695";
"40276.4993004";"Calculated instant fuel rate";"0.7713873742515334";"L/h";"46.352563";"15.1273695";
"40276.4993004";"Fuel used";"0.00017337810256731398";"L";"46.352563";"15.1273695";
"40276.4993004";"Fuel used (Today)";"0.285487";"L";"46.352563";"15.1273695";
"40276.4993004";"Fuel used (total)";"4.829161999999999";"L";"46.352563";"15.1273695";
"40276.4993004";"Fuel used (Week)";"0.285487";"L";"46.352563";"15.1273695";
"40276.4993004";"Fuel used price";"0.0002860738692360681";"€";"46.352563";"15.1273695";
"40276.4993004";"Fuel used price (Today)";"0.47105354999999993";"€";"46.352563";"15.1273695";
"40276.4993004";"Fuel used price (total)";"7.968117300000001";"€";"46.352563";"15.1273695";
"40276.4993004";"Fuel used price (Week)";"0.47105354999999993";"€";"46.352563";"15.1273695";
"40276.4993004";"Instant engine power (based on fuel consumption)";"3.0178200671688424";"hp";"46.352563";"15.1273695";
"40276.4993004";"MAF air flow rate";"2.29";"g/sec";"46.352563";"15.1273695";
"40276.4993004";"Power from MAF";"2.7479999999999998";"hp";"46.352563";"15.1273695";
"40276.5359157";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40276.5359157";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40276.5359157";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40276.5359157";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40276.5359157";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40276.5359157";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40276.5712557";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40276.6440248";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40276.6440248";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40276.6791992";"Average fuel consumption (Today)";"5.405612125122492";"L/100km";"46.352563";"15.1273695";
"40276.6791992";"Average fuel consumption (total)";"6.2433844539307035";"L/100km";"46.352563";"15.1273695";
"40276.6791992";"Average fuel consumption (Week)";"5.405612125122492";"L/100km";"46.352563";"15.1273695";
"40276.6791992";"Calculated instant fuel rate";"0.7444393437099951";"L/h";"46.352563";"15.1273695";
"40276.6791992";"Fuel used";"0.0002105666526978294";"L";"46.352563";"15.1273695";
"40276.6791992";"Fuel used (Today)";"0.285524";"L";"46.352563";"15.1273695";
"40276.6791992";"Fuel used (total)";"4.829198999999999";"L";"46.352563";"15.1273695";
"40276.6791992";"Fuel used (Week)";"0.285524";"L";"46.352563";"15.1273695";
"40276.6791992";"Fuel used price";"0.0003474349769514185";"€";"46.352563";"15.1273695";
"40276.6791992";"Fuel used price (Today)";"0.47111459999999994";"€";"46.352563";"15.1273695";
"40276.6791992";"Fuel used price (total)";"7.9681783500000005";"€";"46.352563";"15.1273695";
"40276.6791992";"Fuel used price (Week)";"0.47111459999999994";"€";"46.352563";"15.1273695";
"40276.6791992";"Instant engine power (based on fuel consumption)";"2.9123940386214593";"hp";"46.352563";"15.1273695";
"40276.6791992";"MAF air flow rate";"2.21";"g/sec";"46.352563";"15.1273695";
"40276.6791992";"Power from MAF";"2.6519999999999997";"hp";"46.352563";"15.1273695";
"40276.7156164";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40276.7156164";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40276.7156164";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40276.7156164";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40276.7156164";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40276.7156164";"Vehicle acceleration";"0";"g";"46.352563";"15.1273695";
"40276.7156164";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40276.7643597";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40276.823204";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40276.823204";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40276.8594849";"Average fuel consumption (Today)";"5.406312618421232";"L/100km";"46.352563";"15.1273695";
"40276.8594849";"Average fuel consumption (total)";"6.2434322890323";"L/100km";"46.352563";"15.1273695";
"40276.8594849";"Average fuel consumption (Week)";"5.406312618421232";"L/100km";"46.352563";"15.1273695";
"40276.8594849";"Calculated instant fuel rate";"0.7444393437099951";"L/h";"46.352563";"15.1273695";
"40276.8594849";"Fuel used";"0.00024785278641898284";"L";"46.352563";"15.1273695";
"40276.8594849";"Fuel used (Today)";"0.285561";"L";"46.352563";"15.1273695";
"40276.8594849";"Fuel used (total)";"4.829235999999999";"L";"46.352563";"15.1273695";
"40276.8594849";"Fuel used (Week)";"0.285561";"L";"46.352563";"15.1273695";
"40276.8594849";"Fuel used price";"0.0004089570975913217";"€";"46.352563";"15.1273695";
"40276.8594849";"Fuel used price (Today)";"0.47117564999999995";"€";"46.352563";"15.1273695";
"40276.8594849";"Fuel used price (total)";"7.968239400000001";"€";"46.352563";"15.1273695";
"40276.8594849";"Fuel used price (Week)";"0.47117564999999995";"€";"46.352563";"15.1273695";
"40276.8594849";"Instant engine power (based on fuel consumption)";"2.9123940386214593";"hp";"46.352563";"15.1273695";
"40276.8594849";"MAF air flow rate";"2.21";"g/sec";"46.352563";"15.1273695";
"40276.8594849";"Power from MAF";"2.6519999999999997";"hp";"46.352563";"15.1273695";
"40276.882511";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40276.882511";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40276.882511";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40276.882511";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40276.882511";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40276.882511";"Vehicle acceleration";"0";"g";"46.352563";"15.1273695";
"40276.882511";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40276.9184948";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40277.0392452";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40277.0392452";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40277.1362422";"Average fuel consumption (Today)";"5.407429621248953";"L/100km";"46.352563";"15.1273695";
"40277.1362422";"Average fuel consumption (total)";"6.243508566626737";"L/100km";"46.352563";"15.1273695";
"40277.1362422";"Average fuel consumption (Week)";"5.407429621248953";"L/100km";"46.352563";"15.1273695";
"40277.1362422";"Calculated instant fuel rate";"0.7612818627984567";"L/h";"46.352563";"15.1273695";
"40277.1362422";"Fuel used";"0.0003063745532972677";"L";"46.352563";"15.1273695";
"40277.1362422";"Fuel used (Today)";"0.28562";"L";"46.352563";"15.1273695";
"40277.1362422";"Fuel used (total)";"4.829294999999999";"L";"46.352563";"15.1273695";
"40277.1362422";"Fuel used (Week)";"0.28562";"L";"46.352563";"15.1273695";
"40277.1362422";"Fuel used price";"0.0005055180129404917";"€";"46.352563";"15.1273695";
"40277.1362422";"Fuel used price (Today)";"0.47127299999999994";"€";"46.352563";"15.1273695";
"40277.1362422";"Fuel used price (total)";"7.968336750000001";"€";"46.352563";"15.1273695";
"40277.1362422";"Fuel used price (Week)";"0.47127299999999994";"€";"46.352563";"15.1273695";
"40277.1362422";"Instant engine power (based on fuel consumption)";"2.9782853064635737";"hp";"46.352563";"15.1273695";
"40277.1362422";"MAF air flow rate";"2.2600000000000002";"g/sec";"46.352563";"15.1273695";
"40277.1362422";"Power from MAF";"2.712";"hp";"46.352563";"15.1273695";
"40277.2194798";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40277.2194798";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40277.2194798";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40277.2194798";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40277.2194798";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40277.2194798";"Vehicle acceleration";"0";"g";"46.352563";"15.1273695";
"40277.2194798";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40277.2677419";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40277.3389191";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40277.3389191";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40277.3749294";"Average fuel consumption (Today)";"5.408376233814818";"L/100km";"46.352563";"15.1273695";
"40277.3749294";"Average fuel consumption (total)";"6.243573208655922";"L/100km";"46.352563";"15.1273695";
"40277.3749294";"Average fuel consumption (Week)";"5.408376233814818";"L/100km";"46.352563";"15.1273695";
"40277.3749294";"Calculated instant fuel rate";"0.7579133589807642";"L/h";"46.352563";"15.1273695";
"40277.3749294";"Fuel used";"0.0003566284196274645";"L";"46.352563";"15.1273695";
"40277.3749294";"Fuel used (Today)";"0.28567";"L";"46.352563";"15.1273695";
"40277.3749294";"Fuel used (total)";"4.829344999999999";"L";"46.352563";"15.1273695";
"40277.3749294";"Fuel used (Week)";"0.28567";"L";"46.352563";"15.1273695";
"40277.3749294";"Fuel used price";"0.0005884368923853164";"€";"46.352563";"15.1273695";
"40277.3749294";"Fuel used price (Today)";"0.4713554999999999";"€";"46.352563";"15.1273695";
"40277.3749294";"Fuel used price (total)";"7.968419250000001";"€";"46.352563";"15.1273695";
"40277.3749294";"Fuel used price (Week)";"0.4713554999999999";"€";"46.352563";"15.1273695";
"40277.3749294";"Instant engine power (based on fuel consumption)";"2.96510705289515";"hp";"46.352563";"15.1273695";
"40277.3749294";"MAF air flow rate";"2.25";"g/sec";"46.352563";"15.1273695";
"40277.3749294";"Power from MAF";"2.6999999999999997";"hp";"46.352563";"15.1273695";
"40277.4106474";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40277.4106474";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40277.4106474";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40277.4106474";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40277.4106474";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40277.4106474";"Vehicle acceleration";"0";"g";"46.352563";"15.1273695";
"40277.4106474";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40277.4478323";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
"40277.5441236";"Fuel economizer (based on fuel system status and throttle position)";"1";"";"46.352563";"15.1273695";
"40277.5441236";"Throttle position";"18.431372549019606";"%";"46.352563";"15.1273695";
"40277.5847858";"Average fuel consumption (Today)";"5.409228185124097";"L/100km";"46.352563";"15.1273695";
"40277.5847858";"Average fuel consumption (total)";"6.243631386482188";"L/100km";"46.352563";"15.1273695";
"40277.5847858";"Average fuel consumption (Week)";"5.409228185124097";"L/100km";"46.352563";"15.1273695";
"40277.5847858";"Calculated instant fuel rate";"0.7680188704338413";"L/h";"46.352563";"15.1273695";
"40277.5847858";"Fuel used";"0.0004014016157171462";"L";"46.352563";"15.1273695";
"40277.5847858";"Fuel used (Today)";"0.285715";"L";"46.352563";"15.1273695";
"40277.5847858";"Fuel used (total)";"4.829389999999999";"L";"46.352563";"15.1273695";
"40277.5847858";"Fuel used (Week)";"0.285715";"L";"46.352563";"15.1273695";
"40277.5847858";"Fuel used price";"0.0006623126659332911";"€";"46.352563";"15.1273695";
"40277.5847858";"Fuel used price (Today)";"0.4714297499999999";"€";"46.352563";"15.1273695";
"40277.5847858";"Fuel used price (total)";"7.968493500000001";"€";"46.352563";"15.1273695";
"40277.5847858";"Fuel used price (Week)";"0.4714297499999999";"€";"46.352563";"15.1273695";
"40277.5847858";"Instant engine power (based on fuel consumption)";"3.0046418136004203";"hp";"46.352563";"15.1273695";
"40277.5847858";"MAF air flow rate";"2.2800000000000002";"g/sec";"46.352563";"15.1273695";
"40277.5847858";"Power from MAF";"2.736";"hp";"46.352563";"15.1273695";
"40277.6104787";"Average speed";"0";"km/h";"46.352563";"15.1273695";
"40277.6104787";"Distance travelled";"0";"km";"46.352563";"15.1273695";
"40277.6104787";"Distance travelled (Today)";"5.281992";"km";"46.352563";"15.1273695";
"40277.6104787";"Distance travelled (total)";"77.34905700000002";"km";"46.352563";"15.1273695";
"40277.6104787";"Distance travelled (Week)";"5.281992";"km";"46.352563";"15.1273695";
"40277.6104787";"Vehicle acceleration";"0";"g";"46.352563";"15.1273695";
"40277.6104787";"Vehicle speed";"0";"km/h";"46.352563";"15.1273695";
"40277.6476925";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";"46.352563";"15.1273695";
