t_sec,turn_class,hill_class,turn_angle_deg,hill_angle_deg,is_straight
0.000,0,0,0.0,0.0,0
0.000,0,0,0.0,0.0,0
0.000,0,0,0.0,0.0,0
0.000,0,0,0.0,0.0,0
0.000,0,0,0.0,0.0,0
0.000,0,0,0.0,0.0,0
0.101,0,0,0.0,0.0,0
0.101,0,0,0.0,0.0,0
0.101,0,0,0.0,0.0,0
0.101,0,0,0.0,0.0,0
0.101,0,0,0.0,0.0,0
0.200,0,0,0.0,0.0,0
0.200,0,0,0.0,0.0,0
0.200,0,0,0.0,0.0,0
0.200,0,0,0.0,0.0,0
0.200,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.300,0,0,0.0,0.0,0
0.400,0,0,0.0,0.0,0
0.400,0,0,0.0,0.0,0
0.400,0,0,0.0,0.0,0
0.400,0,0,0.0,0.0,0
0.400,0,0,0.0,0.0,0
0.500,0,0,0.0,0.0,0
0.500,0,0,0.0,0.0,0
0.500,0,0,0.0,0.0,0
0.500,0,0,0.0,0.0,0
0.500,0,0,0.0,0.0,0
0.600,0,0,0.0,0.0,0
0.600,0,0,0.0,0.0,0
0.600,0,0,0.0,0.0,0
0.600,0,0,0.0,0.0,0
0.600,0,0,0.0,0.0,0
0.701,0,0,0.0,0.0,0
0.701,0,0,0.0,0.0,0
0.701,0,0,0.0,0.0,0
0.701,0,0,0.0,0.0,0
0.701,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.800,0,0,0.0,0.0,0
0.900,0,0,0.0,0.0,0
0.900,0,0,0.0,0.0,0
0.900,0,0,0.0,0.0,0
0.900,0,0,0.0,0.0,0
0.900,0,0,0.0,0.0,0
1.000,0,0,0.0,0.0,0
1.000,0,0,0.0,0.0,0
1.000,0,0,0.0,0.0,0
1.000,0,0,0.0,0.0,0
1.000,0,0,0.0,0.0,0
1.101,0,0,0.0,0.0,0
1.101,0,0,0.0,0.0,0
1.101,0,0,0.0,0.0,0
1.101,0,0,0.0,0.0,0
1.101,0,0,0.0,0.0,0
1.200,0,0,0.0,0.0,0
1.200,0,0,0.0,0.0,0
1.200,0,0,0.0,0.0,0
1.200,0,0,0.0,0.0,0
1.200,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.300,0,0,0.0,0.0,0
1.400,0,0,0.0,0.0,0
1.400,0,0,0.0,0.0,0
1.400,0,0,0.0,0.0,0
1.400,0,0,0.0,0.0,0
1.400,0,0,0.0,0.0,0
1.501,0,0,0.0,0.0,0
1.501,0,0,0.0,0.0,0
1.501,0,0,0.0,0.0,0
1.501,0,0,0.0,0.0,0
1.501,0,0,0.0,0.0,0
1.600,0,0,0.0,0.0,0
1.600,0,0,0.0,0.0,0
1.600,0,0,0.0,0.0,0
1.600,0,0,0.0,0.0,0
1.600,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.701,0,0,0.0,0.0,0
1.800,0,0,0.0,0.0,0
1.800,0,0,0.0,0.0,0
1.800,0,0,0.0,0.0,0
1.800,0,0,0.0,0.0,0
1.800,0,0,0.0,0.0,0
1.900,0,0,0.0,0.0,0
1.900,0,0,0.0,0.0,0
1.900,0,0,0.0,0.0,0
1.900,0,0,0.0,0.0,0
1.900,0,0,0.0,0.0,0
2.000,0,0,0.0,0.0,0
2.000,0,0,0.0,0.0,0
2.000,0,0,0.0,0.0,0
2.000,0,0,0.0,0.0,0
2.000,0,0,0.0,0.0,0
2.100,0,0,0.0,0.0,0
2.100,0,0,0.0,0.0,0
2.100,0,0,0.0,0.0,0
2.100,0,0,0.0,0.0,0
2.100,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.200,0,0,0.0,0.0,0
2.301,0,0,0.0,0.0,0
2.301,0,0,0.0,0.0,0
2.301,0,0,0.0,0.0,0
2.301,0,0,0.0,0.0,0
2.301,0,0,0.0,0.0,0
2.400,0,0,0.0,0.0,0
2.400,0,0,0.0,0.0,0
2.400,0,0,0.0,0.0,0
2.400,0,0,0.0,0.0,0
2.400,0,0,0.0,0.0,0
2.501,0,0,0.0,0.0,0
2.501,0,0,0.0,0.0,0
2.501,0,0,0.0,0.0,0
2.501,0,0,0.0,0.0,0
2.501,0,0,0.0,0.0,0
2.600,0,0,0.0,0.0,0
2.600,0,0,0.0,0.0,0
2.600,0,0,0.0,0.0,0
2.600,0,0,0.0,0.0,0
2.600,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.700,0,0,0.0,0.0,0
2.800,0,0,0.0,0.0,0
2.800,0,0,0.0,0.0,0
2.800,0,0,0.0,0.0,0
2.800,0,0,0.0,0.0,0
2.800,0,0,0.0,0.0,0
2.901,0,0,0.0,0.0,0
2.901,0,0,0.0,0.0,0
2.901,0,0,0.0,0.0,0
2.901,0,0,0.0,0.0,0
2.901,0,0,0.0,0.0,0
3.001,0,0,0.0,0.0,0
3.001,0,0,0.0,0.0,0
3.001,0,0,0.0,0.0,0
3.001,0,0,0.0,0.0,0
3.001,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.101,0,0,0.0,0.0,0
3.201,0,0,0.0,0.0,0
3.201,0,0,0.0,0.0,0
3.201,0,0,0.0,0.0,0
3.201,0,0,0.0,0.0,0
3.201,0,0,0.0,0.0,0
3.301,0,0,0.0,0.0,0
3.301,0,0,0.0,0.0,0
3.301,0,0,0.0,0.0,0
3.301,0,0,0.0,0.0,0
3.301,0,0,0.0,0.0,0
3.401,0,0,0.0,0.0,0
3.401,0,0,0.0,0.0,0
3.401,0,0,0.0,0.0,0
3.401,0,0,0.0,0.0,0
3.401,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.501,0,0,0.0,0.0,0
3.601,0,0,0.0,0.0,0
3.601,0,0,0.0,0.0,0
3.601,0,0,0.0,0.0,0
3.601,0,0,0.0,0.0,0
3.601,0,0,0.0,0.0,0
3.701,0,0,0.0,0.0,0
3.701,0,0,0.0,0.0,0
3.701,0,0,0.0,0.0,0
3.701,0,0,0.0,0.0,0
3.701,0,0,0.0,0.0,0
3.801,0,0,0.0,0.0,0
3.801,0,0,0.0,0.0,0
3.801,0,0,0.0,0.0,0
3.801,0,0,0.0,0.0,0
3.801,0,0,0.0,0.0,0
3.901,0,0,0.0,0.0,0
3.901,0,0,0.0,0.0,0
3.901,0,0,0.0,0.0,0
3.901,0,0,0.0,0.0,0
3.901,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.001,0,0,0.0,0.0,0
4.101,0,0,0.0,0.0,0
4.101,0,0,0.0,0.0,0
4.101,0,0,0.0,0.0,0
4.101,0,0,0.0,0.0,0
4.101,0,0,0.0,0.0,0
4.201,0,0,0.0,0.0,0
4.201,0,0,0.0,0.0,0
4.201,0,0,0.0,0.0,0
4.201,0,0,0.0,0.0,0
4.201,0,0,0.0,0.0,0
4.301,0,0,0.0,0.0,0
4.301,0,0,0.0,0.0,0
4.301,0,0,0.0,0.0,0
4.301,0,0,0.0,0.0,0
4.301,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.401,0,0,0.0,0.0,0
4.501,0,0,0.0,0.0,0
4.501,0,0,0.0,0.0,0
4.501,0,0,0.0,0.0,0
4.501,0,0,0.0,0.0,0
4.501,0,0,0.0,0.0,0
4.601,0,0,0.0,0.0,0
4.601,0,0,0.0,0.0,0
4.601,0,0,0.0,0.0,0
4.601,0,0,0.0,0.0,0
4.601,0,0,0.0,0.0,0
4.701,0,0,0.0,0.0,0
4.701,0,0,0.0,0.0,0
4.701,0,0,0.0,0.0,0
4.701,0,0,0.0,0.0,0
4.701,0,0,0.0,0.0,0
4.801,0,0,0.0,0.0,0
4.801,0,0,0.0,0.0,0
4.801,0,0,0.0,0.0,0
4.801,0,0,0.0,0.0,0
4.801,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
4.901,0,0,0.0,0.0,0
5.001,0,0,0.0,0.0,0
5.001,0,0,0.0,0.0,0
5.001,0,0,0.0,0.0,0
5.001,0,0,0.0,0.0,0
5.001,0,0,0.0,0.0,0
5.101,0,0,0.0,0.0,0
5.101,0,0,0.0,0.0,0
5.101,0,0,0.0,0.0,0
5.101,0,0,0.0,0.0,0
5.101,0,0,0.0,0.0,0
5.201,0,0,0.0,0.0,0
5.201,0,0,0.0,0.0,0
5.201,0,0,0.0,0.0,0
5.201,0,0,0.0,0.0,0
5.201,0,0,0.0,0.0,0
5.301,0,0,0.0,0.0,0
5.301,0,0,0.0,0.0,0
5.301,0,0,0.0,0.0,0
5.301,0,0,0.0,0.0,0
5.301,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.401,0,0,0.0,0.0,0
5.501,0,0,0.0,0.0,0
5.501,0,0,0.0,0.0,0
5.501,0,0,0.0,0.0,0
5.501,0,0,0.0,0.0,0
5.501,0,0,0.0,0.0,0
5.601,0,0,0.0,0.0,0
5.601,0,0,0.0,0.0,0
5.601,0,0,0.0,0.0,0
5.601,0,0,0.0,0.0,0
5.601,0,0,0.0,0.0,0
5.701,0,0,0.0,0.0,0
5.701,0,0,0.0,0.0,0
5.701,0,0,0.0,0.0,0
5.701,0,0,0.0,0.0,0
5.701,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.801,0,0,0.0,0.0,0
5.901,0,0,0.0,0.0,0
5.901,0,0,0.0,0.0,0
5.901,0,0,0.0,0.0,0
5.901,0,0,0.0,0.0,0
5.901,0,0,0.0,0.0,0
6.001,0,0,0.0,0.0,0
6.001,0,0,0.0,0.0,0
6.001,0,0,0.0,0.0,0
6.001,0,0,0.0,0.0,0
6.001,0,0,0.0,0.0,0
6.101,0,0,0.0,0.0,0
6.101,0,0,0.0,0.0,0
6.101,0,0,0.0,0.0,0
6.101,0,0,0.0,0.0,0
6.101,0,0,0.0,0.0,0
6.201,0,0,0.0,0.0,0
6.201,0,0,0.0,0.0,0
6.201,0,0,0.0,0.0,0
6.201,0,0,0.0,0.0,0
6.201,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.301,0,0,0.0,0.0,0
6.401,0,0,0.0,0.0,0
6.401,0,0,0.0,0.0,0
6.401,0,0,0.0,0.0,0
6.401,0,0,0.0,0.0,0
6.401,0,0,0.0,0.0,0
6.501,0,0,0.0,0.0,0
6.501,0,0,0.0,0.0,0
6.501,0,0,0.0,0.0,0
6.501,0,0,0.0,0.0,0
6.501,0,0,0.0,0.0,0
6.601,0,0,0.0,0.0,0
6.601,0,0,0.0,0.0,0
6.601,0,0,0.0,0.0,0
6.601,0,0,0.0,0.0,0
6.601,0,0,0.0,0.0,0
6.701,2,1,-90.0,5.0,0
6.701,2,1,-90.0,5.0,0
6.701,2,1,-90.0,5.0,0
6.701,2,1,-90.0,5.0,0
6.701,2,1,-90.0,5.0,0
6.701,2,1,-90.0,5.0,0
6.801,2,1,-90.0,5.0,0
6.801,2,1,-90.0,5.0,0
6.801,2,1,-90.0,5.0,0
6.801,2,1,-90.0,5.0,0
6.801,2,1,-90.0,5.0,0
6.901,2,1,-90.0,5.0,0
6.901,2,1,-90.0,5.0,0
6.901,2,1,-90.0,5.0,0
6.901,2,1,-90.0,5.0,0
6.901,2,1,-90.0,5.0,0
7.001,2,1,-90.0,5.0,0
7.001,2,1,-90.0,5.0,0
7.001,2,1,-90.0,5.0,0
7.001,2,1,-90.0,5.0,0
7.001,2,1,-90.0,5.0,0
7.101,2,1,-90.0,5.0,0
7.101,2,1,-90.0,5.0,0
7.101,2,1,-90.0,5.0,0
7.101,2,1,-90.0,5.0,0
7.101,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.201,2,1,-90.0,5.0,0
7.301,2,1,-90.0,5.0,0
7.301,2,1,-90.0,5.0,0
7.301,2,1,-90.0,5.0,0
7.301,2,1,-90.0,5.0,0
7.301,2,1,-90.0,5.0,0
