"SECONDS";"PID";"VALUE";"UNITS";
"47888.3823211";"Vehicle speed";"0";"km/h";
"47888.5631617";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"47888.7384338";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"47888.7384338";"Throttle position";"21.176470588235293";"%";
"47888.7943482";"Calculated instant fuel rate";"1.320453496535376";"L/h";
"47888.7943482";"Instant engine power (based on fuel consumption)";"5.165875398821774";"hp";
"47888.7943482";"MAF air flow rate";"3.92";"g/sec";
"47888.7943482";"Power from MAF";"4.704";"hp";
"47888.8619106";"Average speed";"0";"km/h";
"47888.8619106";"Distance travelled";"0";"km";
"47888.8619106";"Distance travelled (Today)";"0";"km";
"47888.8619106";"Distance travelled (total)";"0";"km";
"47888.8619106";"Distance travelled (Week)";"0";"km";
"47888.8619106";"Vehicle speed";"0";"km/h";
"47888.9246585";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"47889.034217";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"47889.034217";"Throttle position";"21.176470588235293";"%";
"47889.0862577";"Calculated instant fuel rate";"1.320453496535376";"L/h";
"47889.0862577";"Fuel used";"0.00010459293806424816";"L";
"47889.0862577";"Fuel used (Today)";"0.000105";"L";
"47889.0862577";"Fuel used (total)";"0.053315";"L";
"47889.0862577";"Fuel used (Week)";"0.000105";"L";
"47889.0862577";"Fuel used price";"0.00017257834780600947";"€";
"47889.0862577";"Fuel used price (Today)";"0.00017325";"€";
"47889.0862577";"Fuel used price (total)";"0.08796975";"€";
"47889.0862577";"Fuel used price (Week)";"0.00017325";"€";
"47889.0862577";"Instant engine power (based on fuel consumption)";"5.165875398821774";"hp";
"47889.0862577";"MAF air flow rate";"3.92";"g/sec";
"47889.0862577";"Power from MAF";"4.704";"hp";
"47889.1420761";"Average speed";"0";"km/h";
"47889.1420761";"Distance travelled";"0";"km";
"47889.1420761";"Distance travelled (Today)";"0";"km";
"47889.1420761";"Distance travelled (total)";"0";"km";
"47889.1420761";"Distance travelled (Week)";"0";"km";
"47889.1420761";"Vehicle speed";"0";"km/h";
"47889.1817624";"Fuel/Air commanded equivalence ratio";"14.640051240000002";"";
"47889.2736935";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"47889.2736935";"Throttle position";"21.176470588235293";"%";
"47889.3140035";"Calculated instant fuel rate";"1.3305590079884528";"L/h";
"47889.3140035";"Fuel used";"0.000188692805122753";"L";
"47889.3140035";"Fuel used (Today)";"0.000189";"L";
